"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"ELIANE NIKOLUK SCACHETTI";"CORONEL ELIANE NIKOLUK";"Prefeito";22;"PL";"SÃO JOSÉ PRECISA DE VOZ";"Deferido";"Concorrendo"
"CONSTANTINO CURY NETO";"DR. CURY";"Prefeito";40;"PSB";"PSB";"Deferido";"Concorrendo"
"FELICIO RAMUTH";"FELICIO";"Prefeito";45;"PSDB";"SÃO JOSÉ NA DIREÇÃO CERTA";"Deferido";"Concorrendo"
"JOAO BOSCO DA SILVA";"JOAO BOSCO";"Prefeito";65;"PC do B";"PC do B";"Deferido";"Concorrendo"
"LUIZ CARLOS DE OLIVEIRA";"LUIZ CARLOS";"Prefeito";36;"PTC";"PTC";"Deferido";"Concorrendo"
"MARINA DE ARANTES LEITE SASSI";"MARINA DO PSOL";"Prefeito";50;"PSOL";"PSOL";"Deferido";"Concorrendo"
"AGLIBERTO DO SOCORRO CHAGAS";"PROFESSOR AGLIBERTO";"Prefeito";30;"NOVO";"NOVO";"Deferido";"Concorrendo"
"RAQUEL DE PAULA";"RAQUEL DE PAULA";"Prefeito";16;"PSTU";"PSTU";"Deferido";"Concorrendo"
"RENATA LEMES DE PAIVA MENDES DA COSTA";"RENATA PAIVA";"Prefeito";55;"PSD";"PSD";"Deferido";"Concorrendo"
"ANDERSON ALVES SENE";"SENNA";"Prefeito";17;"PSL";"SÃO JOSÉ ACIMA DE TUDO";"Deferido";"Concorrendo"
"WAGNER OCIMAR BALIEIRO";"WAGNER BALIEIRO";"Prefeito";13;"PT";"Mais e Melhor por São José";"Deferido";"Concorrendo"
