"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"ADEMIR RODRIGUES PEREIRA";"ADEMIR PEREIRA";"Vereador";14500;"PTB";"PTB";"Deferido";"Concorrendo"
"ADILSON GOMES DA SILVA";"ADILSON DO TAXI";"Vereador";11011;"PP";"PP";"Deferido";"Concorrendo"
"ADNAN APARECIDO DE SOUZA";"ADNAN BAAHDRA";"Vereador";65999;"PC do B";"PC do B";"Deferido";"Concorrendo"
"ADRIANA NOGUEIRA DO PRADO";"ADRIANA PRADO";"Vereador";55580;"PSD";"PSD";"Deferido";"Concorrendo"
"ADRIANA CARDOSO RIBEIRO";"ADRIANA RIBEIRO";"Vereador";36007;"PTC";"PTC";"Indeferido";"Concorrendo"
"ADRIANE ALVES DE SOUZA";"ADRIANE ALVES";"Vereador";23011;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"ADRIANO RIBEIRO FILHO";"ADRIANO DO BAR";"Vereador";10333;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"ADRIANO VANILDO NOVAES";"ADRIANO NOVAES";"Vereador";15600;"MDB";"MDB";"Deferido";"Concorrendo"
"AÉCIO FERREIRA DA SILVA";"AÉCIO SAÚDE";"Vereador";10111;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"AILCI GONÇALVES ROSA";"AILCY DO DESAFIO JOVEM";"Vereador";22123;"PL";"PL";"Deferido";"Concorrendo"
"ALADIN MARCIANO SOBRINHO";"ALADIM";"Vereador";70700;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"ALBERTINA DE SOUZA PENNA";"ALBERTINA PENNA";"Vereador";13310;"PT";"PT";"Deferido";"Concorrendo"
"BENEDITO ALVES DE FARIA";"ALEMÃO DA LESTE";"Vereador";28232;"PRTB";"PRTB";"Deferido";"Concorrendo"
"JOSE ANTÔNIO DE OLIVEIRA";"ALEMÃO DA PANELA";"Vereador";10221;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"ROBERTO ALENCAR DE PAIVA";"ALENCAR PAIVA";"Vereador";17064;"PSL";"PSL";"Deferido";"Concorrendo"
"ALESSANDRA LEMOS PINTO";"ALESSANDRA LEMOS";"Vereador";17369;"PSL";"PSL";"Deferido";"Concorrendo"
"ALESSANDRA DE PAIVA LIMA";"ALESSANDRA LIMA";"Vereador";16100;"PSTU";"PSTU";"Deferido";"Concorrendo"
"ALESSANDRO CESAR ALVES";"ALESSANDRO PADEIRO";"Vereador";10234;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"ALEXANDRA BALBINO DA SILVA";"ALEXANDRA BALBINO";"Vereador";70051;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"ALEXANDRA GODOI GUILHERME";"ALEXANDRA GODOI";"Vereador";17111;"PSL";"PSL";"Renúncia";"Concorrendo"
